Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2012,Canada,Average expenditure per household,All classes,Laundromats and self-service dry cleaning,v64476314,1.1.1.157,51
2013,Canada,Average expenditure per household,All classes,Laundromats and self-service dry cleaning,v64476314,1.1.1.157,45
2014,Canada,Average expenditure per household,All classes,Laundromats and self-service dry cleaning,v64476314,1.1.1.157,46
2010,Canada,Average expenditure per household,All classes,"Clothing rental, tailoring, alteration services and other clothing services",v64476315,1.1.1.158,23
2011,Canada,Average expenditure per household,All classes,"Clothing rental, tailoring, alteration services and other clothing services",v64476315,1.1.1.158,20
2012,Canada,Average expenditure per household,All classes,"Clothing rental, tailoring, alteration services and other clothing services",v64476315,1.1.1.158,19
2013,Canada,Average expenditure per household,All classes,"Clothing rental, tailoring, alteration services and other clothing services",v64476315,1.1.1.158,19
2014,Canada,Average expenditure per household,All classes,"Clothing rental, tailoring, alteration services and other clothing services",v64476315,1.1.1.158,F
2010,Canada,Average expenditure per household,All classes,Transportation,v54530476,1.1.1.23,11156
2011,Canada,Average expenditure per household,All classes,Transportation,v54530476,1.1.1.23,11262
2012,Canada,Average expenditure per household,All classes,Transportation,v54530476,1.1.1.23,11202
2013,Canada,Average expenditure per household,All classes,Transportation,v54530476,1.1.1.23,12044
2014,Canada,Average expenditure per household,All classes,Transportation,v54530476,1.1.1.23,11891
2010,Canada,Average expenditure per household,All classes,Private transportation,v54530477,1.1.1.24,10097
2011,Canada,Average expenditure per household,All classes,Private transportation,v54530477,1.1.1.24,10193
2012,Canada,Average expenditure per household,All classes,Private transportation,v54530477,1.1.1.24,10076
2013,Canada,Average expenditure per household,All classes,Private transportation,v54530477,1.1.1.24,10832
2014,Canada,Average expenditure per household,All classes,Private transportation,v54530477,1.1.1.24,10717
2010,Canada,Average expenditure per household,All classes,"Private use automobiles, vans and trucks",v64476316,1.1.1.159,5076
2011,Canada,Average expenditure per household,All classes,"Private use automobiles, vans and trucks",v64476316,1.1.1.159,4546
2012,Canada,Average expenditure per household,All classes,"Private use automobiles, vans and trucks",v64476316,1.1.1.159,4259
2013,Canada,Average expenditure per household,All classes,"Private use automobiles, vans and trucks",v64476316,1.1.1.159,4714
2014,Canada,Average expenditure per household,All classes,"Private use automobiles, vans and trucks",v64476316,1.1.1.159,4566
2010,Canada,Average expenditure per household,All classes,"Purchase of automobiles, vans and trucks",v64476317,1.1.1.160,4518
2011,Canada,Average expenditure per household,All classes,"Purchase of automobiles, vans and trucks",v64476317,1.1.1.160,4034
2012,Canada,Average expenditure per household,All classes,"Purchase of automobiles, vans and trucks",v64476317,1.1.1.160,3879
2013,Canada,Average expenditure per household,All classes,"Purchase of automobiles, vans and trucks",v64476317,1.1.1.160,4333
2014,Canada,Average expenditure per household,All classes,"Purchase of automobiles, vans and trucks",v64476317,1.1.1.160,4072
2010,Canada,Average expenditure per household,All classes,Automobiles (purchase),v64476318,1.1.1.161,2407
2011,Canada,Average expenditure per household,All classes,Automobiles (purchase),v64476318,1.1.1.161,1871
2012,Canada,Average expenditure per household,All classes,Automobiles (purchase),v64476318,1.1.1.161,1925
2013,Canada,Average expenditure per household,All classes,Automobiles (purchase),v64476318,1.1.1.161,1964
2014,Canada,Average expenditure per household,All classes,Automobiles (purchase),v64476318,1.1.1.161,1757
2010,Canada,Average expenditure per household,All classes,"Vans (including mini-vans, purchase)",v64476319,1.1.1.162,360
2011,Canada,Average expenditure per household,All classes,"Vans (including mini-vans, purchase)",v64476319,1.1.1.162,271
2012,Canada,Average expenditure per household,All classes,"Vans (including mini-vans, purchase)",v64476319,1.1.1.162,307
2013,Canada,Average expenditure per household,All classes,"Vans (including mini-vans, purchase)",v64476319,1.1.1.162,317
2014,Canada,Average expenditure per household,All classes,"Vans (including mini-vans, purchase)",v64476319,1.1.1.162,238
2010,Canada,Average expenditure per household,All classes,"Trucks (including sport utility vehicles, purchase)",v64476320,1.1.1.163,1750
2011,Canada,Average expenditure per household,All classes,"Trucks (including sport utility vehicles, purchase)",v64476320,1.1.1.163,1892
2012,Canada,Average expenditure per household,All classes,"Trucks (including sport utility vehicles, purchase)",v64476320,1.1.1.163,1647
2013,Canada,Average expenditure per household,All classes,"Trucks (including sport utility vehicles, purchase)",v64476320,1.1.1.163,2053
2014,Canada,Average expenditure per household,All classes,"Trucks (including sport utility vehicles, purchase)",v64476320,1.1.1.163,2078
2010,Canada,Average expenditure per household,All classes,"Accessories for automobiles, vans and trucks",v64476321,1.1.1.164,21
2011,Canada,Average expenditure per household,All classes,"Accessories for automobiles, vans and trucks",v64476321,1.1.1.164,12
2012,Canada,Average expenditure per household,All classes,"Accessories for automobiles, vans and trucks",v64476321,1.1.1.164,50
2013,Canada,Average expenditure per household,All classes,"Accessories for automobiles, vans and trucks",v64476321,1.1.1.164,45
2014,Canada,Average expenditure per household,All classes,"Accessories for automobiles, vans and trucks",v64476321,1.1.1.164,52
2010,Canada,Average expenditure per household,All classes,"Fees for leased automobiles, vans and trucks",v64476322,1.1.1.165,537
2011,Canada,Average expenditure per household,All classes,"Fees for leased automobiles, vans and trucks",v64476322,1.1.1.165,500
2012,Canada,Average expenditure per household,All classes,"Fees for leased automobiles, vans and trucks",v64476322,1.1.1.165,329
2013,Canada,Average expenditure per household,All classes,"Fees for leased automobiles, vans and trucks",v64476322,1.1.1.165,335
2014,Canada,Average expenditure per household,All classes,"Fees for leased automobiles, vans and trucks",v64476322,1.1.1.165,442
2010,Canada,Average expenditure per household,All classes,"Regular fees for leased automobiles, vans and trucks",v64476323,1.1.1.166,498
2011,Canada,Average expenditure per household,All classes,"Regular fees for leased automobiles, vans and trucks",v64476323,1.1.1.166,461
2012,Canada,Average expenditure per household,All classes,"Regular fees for leased automobiles, vans and trucks",v64476323,1.1.1.166,304
2013,Canada,Average expenditure per household,All classes,"Regular fees for leased automobiles, vans and trucks",v64476323,1.1.1.166,311
2014,Canada,Average expenditure per household,All classes,"Regular fees for leased automobiles, vans and trucks",v64476323,1.1.1.166,383
2010,Canada,Average expenditure per household,All classes,Regular fees for leased automobiles,v64476324,1.1.1.167,313
2011,Canada,Average expenditure per household,All classes,Regular fees for leased automobiles,v64476324,1.1.1.167,259
2012,Canada,Average expenditure per household,All classes,Regular fees for leased automobiles,v64476324,1.1.1.167,195
2013,Canada,Average expenditure per household,All classes,Regular fees for leased automobiles,v64476324,1.1.1.167,184
2014,Canada,Average expenditure per household,All classes,Regular fees for leased automobiles,v64476324,1.1.1.167,235
2010,Canada,Average expenditure per household,All classes,Regular fees for leased vans and trucks,v64476325,1.1.1.168,186
2011,Canada,Average expenditure per household,All classes,Regular fees for leased vans and trucks,v64476325,1.1.1.168,202
2012,Canada,Average expenditure per household,All classes,Regular fees for leased vans and trucks,v64476325,1.1.1.168,109
2013,Canada,Average expenditure per household,All classes,Regular fees for leased vans and trucks,v64476325,1.1.1.168,127
2014,Canada,Average expenditure per household,All classes,Regular fees for leased vans and trucks,v64476325,1.1.1.168,148
2010,Canada,Average expenditure per household,All classes,"Other costs for leased automobiles, vans and trucks (include down payment and closing costs)",v64476326,1.1.1.169,38
2011,Canada,Average expenditure per household,All classes,"Other costs for leased automobiles, vans and trucks (include down payment and closing costs)",v64476326,1.1.1.169,39
2012,Canada,Average expenditure per household,All classes,"Other costs for leased automobiles, vans and trucks (include down payment and closing costs)",v64476326,1.1.1.169,26
2013,Canada,Average expenditure per household,All classes,"Other costs for leased automobiles, vans and trucks (include down payment and closing costs)",v64476326,1.1.1.169,23
2014,Canada,Average expenditure per household,All classes,"Other costs for leased automobiles, vans and trucks (include down payment and closing costs)",v64476326,1.1.1.169,F
2010,Canada,Average expenditure per household,All classes,"Rented automobiles, vans and trucks",v64476327,1.1.1.170,54
2011,Canada,Average expenditure per household,All classes,"Rented automobiles, vans and trucks",v64476327,1.1.1.170,46
2012,Canada,Average expenditure per household,All classes,"Rented automobiles, vans and trucks",v64476327,1.1.1.170,52
2013,Canada,Average expenditure per household,All classes,"Rented automobiles, vans and trucks",v64476327,1.1.1.170,52
2014,Canada,Average expenditure per household,All classes,"Rented automobiles, vans and trucks",v64476327,1.1.1.170,59
2010,Canada,Average expenditure per household,All classes,"Automobile, van and truck operations",v64476328,1.1.1.171,4967
2011,Canada,Average expenditure per household,All classes,"Automobile, van and truck operations",v64476328,1.1.1.171,5601
2012,Canada,Average expenditure per household,All classes,"Automobile, van and truck operations",v64476328,1.1.1.171,5765
2013,Canada,Average expenditure per household,All classes,"Automobile, van and truck operations",v64476328,1.1.1.171,6067
2014,Canada,Average expenditure per household,All classes,"Automobile, van and truck operations",v64476328,1.1.1.171,6092
2010,Canada,Average expenditure per household,All classes,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",v64476329,1.1.1.172,407
2011,Canada,Average expenditure per household,All classes,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",v64476329,1.1.1.172,405
2012,Canada,Average expenditure per household,All classes,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",v64476329,1.1.1.172,374
2013,Canada,Average expenditure per household,All classes,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",v64476329,1.1.1.172,515
2014,Canada,Average expenditure per household,All classes,"Registration fees for automobiles, vans and trucks (including insurance if part of registration)",v64476329,1.1.1.172,534
2010,Canada,Average expenditure per household,All classes,Private and public vehicle insurance premiums,v64476330,1.1.1.173,1260
2011,Canada,Average expenditure per household,All classes,Private and public vehicle insurance premiums,v64476330,1.1.1.173,1305
2012,Canada,Average expenditure per household,All classes,Private and public vehicle insurance premiums,v64476330,1.1.1.173,1339
2013,Canada,Average expenditure per household,All classes,Private and public vehicle insurance premiums,v64476330,1.1.1.173,1259
2014,Canada,Average expenditure per household,All classes,Private and public vehicle insurance premiums,v64476330,1.1.1.173,1239
2010,Canada,Average expenditure per household,All classes,"Tires, batteries, and other parts and supplies for vehicles",v64476331,1.1.1.174,340
2011,Canada,Average expenditure per household,All classes,"Tires, batteries, and other parts and supplies for vehicles",v64476331,1.1.1.174,395
2012,Canada,Average expenditure per household,All classes,"Tires, batteries, and other parts and supplies for vehicles",v64476331,1.1.1.174,379
2013,Canada,Average expenditure per household,All classes,"Tires, batteries, and other parts and supplies for vehicles",v64476331,1.1.1.174,373
2014,Canada,Average expenditure per household,All classes,"Tires, batteries, and other parts and supplies for vehicles",v64476331,1.1.1.174,377
2010,Canada,Average expenditure per household,All classes,Maintenance and repairs of vehicles,v64476332,1.1.1.175,497
2011,Canada,Average expenditure per household,All classes,Maintenance and repairs of vehicles,v64476332,1.1.1.175,537
2012,Canada,Average expenditure per household,All classes,Maintenance and repairs of vehicles,v64476332,1.1.1.175,971
2013,Canada,Average expenditure per household,All classes,Maintenance and repairs of vehicles,v64476332,1.1.1.175,962
2014,Canada,Average expenditure per household,All classes,Maintenance and repairs of vehicles,v64476332,1.1.1.175,1081
2010,Canada,Average expenditure per household,All classes,Vehicle security and communication services,v64476333,1.1.1.176,13
2011,Canada,Average expenditure per household,All classes,Vehicle security and communication services,v64476333,1.1.1.176,10
2012,Canada,Average expenditure per household,All classes,Vehicle security and communication services,v64476333,1.1.1.176,12
2013,Canada,Average expenditure per household,All classes,Vehicle security and communication services,v64476333,1.1.1.176,12
2014,Canada,Average expenditure per household,All classes,Vehicle security and communication services,v64476333,1.1.1.176,14
2010,Canada,Average expenditure per household,All classes,Gas and other fuels (all vehicles and tools),v64476334,1.1.1.177,2108
2011,Canada,Average expenditure per household,All classes,Gas and other fuels (all vehicles and tools),v64476334,1.1.1.177,2618
2012,Canada,Average expenditure per household,All classes,Gas and other fuels (all vehicles and tools),v64476334,1.1.1.177,2377
2013,Canada,Average expenditure per household,All classes,Gas and other fuels (all vehicles and tools),v64476334,1.1.1.177,2572
2014,Canada,Average expenditure per household,All classes,Gas and other fuels (all vehicles and tools),v64476334,1.1.1.177,2470
2010,Canada,Average expenditure per household,All classes,Parking (excluding parking fees included in rent and traffic and parking tickets),v64476336,1.1.1.179,225
2011,Canada,Average expenditure per household,All classes,Parking (excluding parking fees included in rent and traffic and parking tickets),v64476336,1.1.1.179,185
2012,Canada,Average expenditure per household,All classes,Parking (excluding parking fees included in rent and traffic and parking tickets),v64476336,1.1.1.179,176
2013,Canada,Average expenditure per household,All classes,Parking (excluding parking fees included in rent and traffic and parking tickets),v64476336,1.1.1.179,192
2014,Canada,Average expenditure per household,All classes,Parking (excluding parking fees included in rent and traffic and parking tickets),v64476336,1.1.1.179,213
2010,Canada,Average expenditure per household,All classes,"Other automobile, van and truck operation services",v64476335,1.1.1.178,42
2011,Canada,Average expenditure per household,All classes,"Other automobile, van and truck operation services",v64476335,1.1.1.178,59
2012,Canada,Average expenditure per household,All classes,"Other automobile, van and truck operation services",v64476335,1.1.1.178,44
2013,Canada,Average expenditure per household,All classes,"Other automobile, van and truck operation services",v64476335,1.1.1.178,91
2014,Canada,Average expenditure per household,All classes,"Other automobile, van and truck operation services",v64476335,1.1.1.178,74
2010,Canada,Average expenditure per household,All classes,"Drivers' licences and tests, and driving lessons",v64476337,1.1.1.180,76
2011,Canada,Average expenditure per household,All classes,"Drivers' licences and tests, and driving lessons",v64476337,1.1.1.180,85
2012,Canada,Average expenditure per household,All classes,"Drivers' licences and tests, and driving lessons",v64476337,1.1.1.180,94
2013,Canada,Average expenditure per household,All classes,"Drivers' licences and tests, and driving lessons",v64476337,1.1.1.180,91
2014,Canada,Average expenditure per household,All classes,"Drivers' licences and tests, and driving lessons",v64476337,1.1.1.180,89
2010,Canada,Average expenditure per household,All classes,Drivers' licences and tests,v64476338,1.1.1.181,54
2011,Canada,Average expenditure per household,All classes,Drivers' licences and tests,v64476338,1.1.1.181,58
2012,Canada,Average expenditure per household,All classes,Drivers' licences and tests,v64476338,1.1.1.181,62
2013,Canada,Average expenditure per household,All classes,Drivers' licences and tests,v64476338,1.1.1.181,61
2014,Canada,Average expenditure per household,All classes,Drivers' licences and tests,v64476338,1.1.1.181,60
2010,Canada,Average expenditure per household,All classes,Driving lessons,v64476339,1.1.1.182,22
2011,Canada,Average expenditure per household,All classes,Driving lessons,v64476339,1.1.1.182,27
2012,Canada,Average expenditure per household,All classes,Driving lessons,v64476339,1.1.1.182,32
2013,Canada,Average expenditure per household,All classes,Driving lessons,v64476339,1.1.1.182,30
2014,Canada,Average expenditure per household,All classes,Driving lessons,v64476339,1.1.1.182,29
2010,Canada,Average expenditure per household,All classes,Public transportation,v54530478,1.1.1.25,1060
2011,Canada,Average expenditure per household,All classes,Public transportation,v54530478,1.1.1.25,1069
2012,Canada,Average expenditure per household,All classes,Public transportation,v54530478,1.1.1.25,1126
2013,Canada,Average expenditure per household,All classes,Public transportation,v54530478,1.1.1.25,1212
2014,Canada,Average expenditure per household,All classes,Public transportation,v54530478,1.1.1.25,1175
2010,Canada,Average expenditure per household,All classes,"City or commuter bus, subway, street car and commuter train",v64476340,1.1.1.183,247
2011,Canada,Average expenditure per household,All classes,"City or commuter bus, subway, street car and commuter train",v64476340,1.1.1.183,251
2012,Canada,Average expenditure per household,All classes,"City or commuter bus, subway, street car and commuter train",v64476340,1.1.1.183,251
2013,Canada,Average expenditure per household,All classes,"City or commuter bus, subway, street car and commuter train",v64476340,1.1.1.183,272
2014,Canada,Average expenditure per household,All classes,"City or commuter bus, subway, street car and commuter train",v64476340,1.1.1.183,263
2010,Canada,Average expenditure per household,All classes,Taxi (including tips),v64476341,1.1.1.184,78
2011,Canada,Average expenditure per household,All classes,Taxi (including tips),v64476341,1.1.1.184,76
2012,Canada,Average expenditure per household,All classes,Taxi (including tips),v64476341,1.1.1.184,77
2013,Canada,Average expenditure per household,All classes,Taxi (including tips),v64476341,1.1.1.184,84
2014,Canada,Average expenditure per household,All classes,Taxi (including tips),v64476341,1.1.1.184,93
2010,Canada,Average expenditure per household,All classes,Other local passenger transportation,v64476342,1.1.1.185,15
2011,Canada,Average expenditure per household,All classes,Other local passenger transportation,v64476342,1.1.1.185,17
2012,Canada,Average expenditure per household,All classes,Other local passenger transportation,v64476342,1.1.1.185,30
2013,Canada,Average expenditure per household,All classes,Other local passenger transportation,v64476342,1.1.1.185,29
2014,Canada,Average expenditure per household,All classes,Other local passenger transportation,v64476342,1.1.1.185,29
2010,Canada,Average expenditure per household,All classes,Airplane,v64476343,1.1.1.186,605
2011,Canada,Average expenditure per household,All classes,Airplane,v64476343,1.1.1.186,613
2012,Canada,Average expenditure per household,All classes,Airplane,v64476343,1.1.1.186,648
2013,Canada,Average expenditure per household,All classes,Airplane,v64476343,1.1.1.186,701
2014,Canada,Average expenditure per household,All classes,Airplane,v64476343,1.1.1.186,676
2010,Canada,Average expenditure per household,All classes,Inter-city bus,v64476344,1.1.1.187,11
2011,Canada,Average expenditure per household,All classes,Inter-city bus,v64476344,1.1.1.187,9
2012,Canada,Average expenditure per household,All classes,Inter-city bus,v64476344,1.1.1.187,10
2013,Canada,Average expenditure per household,All classes,Inter-city bus,v64476344,1.1.1.187,10
2014,Canada,Average expenditure per household,All classes,Inter-city bus,v64476344,1.1.1.187,11
2010,Canada,Average expenditure per household,All classes,Other inter-city passenger transportation services,v64476345,1.1.1.188,31
2011,Canada,Average expenditure per household,All classes,Other inter-city passenger transportation services,v64476345,1.1.1.188,34
2012,Canada,Average expenditure per household,All classes,Other inter-city passenger transportation services,v64476345,1.1.1.188,43
2013,Canada,Average expenditure per household,All classes,Other inter-city passenger transportation services,v64476345,1.1.1.188,39
2014,Canada,Average expenditure per household,All classes,Other inter-city passenger transportation services,v64476345,1.1.1.188,41
2010,Canada,Average expenditure per household,All classes,"Household moving, storage and delivery services",v64476346,1.1.1.189,73
2011,Canada,Average expenditure per household,All classes,"Household moving, storage and delivery services",v64476346,1.1.1.189,68
2012,Canada,Average expenditure per household,All classes,"Household moving, storage and delivery services",v64476346,1.1.1.189,67
2013,Canada,Average expenditure per household,All classes,"Household moving, storage and delivery services",v64476346,1.1.1.189,77
2014,Canada,Average expenditure per household,All classes,"Household moving, storage and delivery services",v64476346,1.1.1.189,62
2010,Canada,Average expenditure per household,All classes,Health care,v54530479,1.1.1.26,2237
2011,Canada,Average expenditure per household,All classes,Health care,v54530479,1.1.1.26,2210
2012,Canada,Average expenditure per household,All classes,Health care,v54530479,1.1.1.26,2303
2013,Canada,Average expenditure per household,All classes,Health care,v54530479,1.1.1.26,2475
2014,Canada,Average expenditure per household,All classes,Health care,v54530479,1.1.1.26,2251
2010,Canada,Average expenditure per household,All classes,Direct health care costs to household,v54530480,1.1.1.27,1655
2011,Canada,Average expenditure per household,All classes,Direct health care costs to household,v54530480,1.1.1.27,1580
2012,Canada,Average expenditure per household,All classes,Direct health care costs to household,v54530480,1.1.1.27,1594
2013,Canada,Average expenditure per household,All classes,Direct health care costs to household,v54530480,1.1.1.27,1730
2014,Canada,Average expenditure per household,All classes,Direct health care costs to household,v54530480,1.1.1.27,1558
2010,Canada,Average expenditure per household,All classes,Prescribed medicines and pharmaceutical products,v64476347,1.1.1.190,494
2011,Canada,Average expenditure per household,All classes,Prescribed medicines and pharmaceutical products,v64476347,1.1.1.190,475
2012,Canada,Average expenditure per household,All classes,Prescribed medicines and pharmaceutical products,v64476347,1.1.1.190,471
2013,Canada,Average expenditure per household,All classes,Prescribed medicines and pharmaceutical products,v64476347,1.1.1.190,451
2014,Canada,Average expenditure per household,All classes,Prescribed medicines and pharmaceutical products,v64476347,1.1.1.190,408
2010,Canada,Average expenditure per household,All classes,"Non-prescribed medicines, pharmaceutical products and health care supplies",v64476348,1.1.1.191,402
2011,Canada,Average expenditure per household,All classes,"Non-prescribed medicines, pharmaceutical products and health care supplies",v64476348,1.1.1.191,359
2012,Canada,Average expenditure per household,All classes,"Non-prescribed medicines, pharmaceutical products and health care supplies",v64476348,1.1.1.191,322
2013,Canada,Average expenditure per household,All classes,"Non-prescribed medicines, pharmaceutical products and health care supplies",v64476348,1.1.1.191,483
2014,Canada,Average expenditure per household,All classes,"Non-prescribed medicines, pharmaceutical products and health care supplies",v64476348,1.1.1.191,342
2010,Canada,Average expenditure per household,All classes,Health care services,v64476349,1.1.1.192,194
2011,Canada,Average expenditure per household,All classes,Health care services,v64476349,1.1.1.192,202
2012,Canada,Average expenditure per household,All classes,Health care services,v64476349,1.1.1.192,244
2013,Canada,Average expenditure per household,All classes,Health care services,v64476349,1.1.1.192,221
2014,Canada,Average expenditure per household,All classes,Health care services,v64476349,1.1.1.192,241
2010,Canada,Average expenditure per household,All classes,Health care practitioners (excluding general practitioners and specialists),v64476350,1.1.1.193,106
2011,Canada,Average expenditure per household,All classes,Health care practitioners (excluding general practitioners and specialists),v64476350,1.1.1.193,106
2012,Canada,Average expenditure per household,All classes,Health care practitioners (excluding general practitioners and specialists),v64476350,1.1.1.193,140
2013,Canada,Average expenditure per household,All classes,Health care practitioners (excluding general practitioners and specialists),v64476350,1.1.1.193,125
2014,Canada,Average expenditure per household,All classes,Health care practitioners (excluding general practitioners and specialists),v64476350,1.1.1.193,153
2010,Canada,Average expenditure per household,All classes,Health care by general practitioners and specialists,v64476351,1.1.1.194,22
2011,Canada,Average expenditure per household,All classes,Health care by general practitioners and specialists,v64476351,1.1.1.194,27
2012,Canada,Average expenditure per household,All classes,Health care by general practitioners and specialists,v64476351,1.1.1.194,33
2013,Canada,Average expenditure per household,All classes,Health care by general practitioners and specialists,v64476351,1.1.1.194,28
2014,Canada,Average expenditure per household,All classes,Health care by general practitioners and specialists,v64476351,1.1.1.194,29
2010,Canada,Average expenditure per household,All classes,"Weight control programs, smoking cessation programs and other medical services",v64476352,1.1.1.195,28
2011,Canada,Average expenditure per household,All classes,"Weight control programs, smoking cessation programs and other medical services",v64476352,1.1.1.195,38
2012,Canada,Average expenditure per household,All classes,"Weight control programs, smoking cessation programs and other medical services",v64476352,1.1.1.195,26
2013,Canada,Average expenditure per household,All classes,"Weight control programs, smoking cessation programs and other medical services",v64476352,1.1.1.195,30
2014,Canada,Average expenditure per household,All classes,"Weight control programs, smoking cessation programs and other medical services",v64476352,1.1.1.195,22
2010,Canada,Average expenditure per household,All classes,"Hospital care, nursing homes and other residential care facilities",v64476353,1.1.1.196,37
2011,Canada,Average expenditure per household,All classes,"Hospital care, nursing homes and other residential care facilities",v64476353,1.1.1.196,31
2012,Canada,Average expenditure per household,All classes,"Hospital care, nursing homes and other residential care facilities",v64476353,1.1.1.196,45
2013,Canada,Average expenditure per household,All classes,"Hospital care, nursing homes and other residential care facilities",v64476353,1.1.1.196,38
2014,Canada,Average expenditure per household,All classes,"Hospital care, nursing homes and other residential care facilities",v64476353,1.1.1.196,37
2010,Canada,Average expenditure per household,All classes,Eye-care goods and services,v64476354,1.1.1.197,206
2011,Canada,Average expenditure per household,All classes,Eye-care goods and services,v64476354,1.1.1.197,209
2012,Canada,Average expenditure per household,All classes,Eye-care goods and services,v64476354,1.1.1.197,211
2013,Canada,Average expenditure per household,All classes,Eye-care goods and services,v64476354,1.1.1.197,230
2014,Canada,Average expenditure per household,All classes,Eye-care goods and services,v64476354,1.1.1.197,216
2010,Canada,Average expenditure per household,All classes,Prescription eye wear,v64476355,1.1.1.198,141
2011,Canada,Average expenditure per household,All classes,Prescription eye wear,v64476355,1.1.1.198,141
2012,Canada,Average expenditure per household,All classes,Prescription eye wear,v64476355,1.1.1.198,148
2013,Canada,Average expenditure per household,All classes,Prescription eye wear,v64476355,1.1.1.198,141
2014,Canada,Average expenditure per household,All classes,Prescription eye wear,v64476355,1.1.1.198,141
2010,Canada,Average expenditure per household,All classes,Non-prescription eye wear and other eye-care goods,v64476356,1.1.1.199,21
2011,Canada,Average expenditure per household,All classes,Non-prescription eye wear and other eye-care goods,v64476356,1.1.1.199,24
2012,Canada,Average expenditure per household,All classes,Non-prescription eye wear and other eye-care goods,v64476356,1.1.1.199,24
2013,Canada,Average expenditure per household,All classes,Non-prescription eye wear and other eye-care goods,v64476356,1.1.1.199,44
2014,Canada,Average expenditure per household,All classes,Non-prescription eye wear and other eye-care goods,v64476356,1.1.1.199,27
2010,Canada,Average expenditure per household,All classes,"Eye-care services (e.g. surgery, exams)",v64476357,1.1.1.200,43
2011,Canada,Average expenditure per household,All classes,"Eye-care services (e.g. surgery, exams)",v64476357,1.1.1.200,43
2012,Canada,Average expenditure per household,All classes,"Eye-care services (e.g. surgery, exams)",v64476357,1.1.1.200,39
2013,Canada,Average expenditure per household,All classes,"Eye-care services (e.g. surgery, exams)",v64476357,1.1.1.200,46
2014,Canada,Average expenditure per household,All classes,"Eye-care services (e.g. surgery, exams)",v64476357,1.1.1.200,49
2010,Canada,Average expenditure per household,All classes,Dental services,v64476358,1.1.1.201,359
2011,Canada,Average expenditure per household,All classes,Dental services,v64476358,1.1.1.201,336
2012,Canada,Average expenditure per household,All classes,Dental services,v64476358,1.1.1.201,346
2013,Canada,Average expenditure per household,All classes,Dental services,v64476358,1.1.1.201,345
2014,Canada,Average expenditure per household,All classes,Dental services,v64476358,1.1.1.201,350
2010,Canada,Average expenditure per household,All classes,Health insurance premiums,v54530481,1.1.1.28,583
2011,Canada,Average expenditure per household,All classes,Health insurance premiums,v54530481,1.1.1.28,629
2012,Canada,Average expenditure per household,All classes,Health insurance premiums,v54530481,1.1.1.28,709
2013,Canada,Average expenditure per household,All classes,Health insurance premiums,v54530481,1.1.1.28,745
2010,Canada,Average expenditure per household,All classes,"Public hospital, medical and drug plan premiums",v64476359,1.1.1.202,168
2011,Canada,Average expenditure per household,All classes,"Public hospital, medical and drug plan premiums",v64476359,1.1.1.202,164
2012,Canada,Average expenditure per household,All classes,"Public hospital, medical and drug plan premiums",v64476359,1.1.1.202,200
2013,Canada,Average expenditure per household,All classes,"Public hospital, medical and drug plan premiums",v64476359,1.1.1.202,218
2010,Canada,Average expenditure per household,All classes,Private health insurance plan premiums,v64476360,1.1.1.203,415
2011,Canada,Average expenditure per household,All classes,Private health insurance plan premiums,v64476360,1.1.1.203,465
2012,Canada,Average expenditure per household,All classes,Private health insurance plan premiums,v64476360,1.1.1.203,508
2013,Canada,Average expenditure per household,All classes,Private health insurance plan premiums,v64476360,1.1.1.203,527
2014,Canada,Average expenditure per household,All classes,Private health insurance plan premiums,v64476360,1.1.1.203,694
2010,Canada,Average expenditure per household,All classes,Private health care plan premiums,v64476361,1.1.1.204,277
2011,Canada,Average expenditure per household,All classes,Private health care plan premiums,v64476361,1.1.1.204,306
2012,Canada,Average expenditure per household,All classes,Private health care plan premiums,v64476361,1.1.1.204,346
2013,Canada,Average expenditure per household,All classes,Private health care plan premiums,v64476361,1.1.1.204,354
2014,Canada,Average expenditure per household,All classes,Private health care plan premiums,v64476361,1.1.1.204,503
2010,Canada,Average expenditure per household,All classes,Dental plan premiums,v64476362,1.1.1.205,33
2011,Canada,Average expenditure per household,All classes,Dental plan premiums,v64476362,1.1.1.205,49
2012,Canada,Average expenditure per household,All classes,Dental plan premiums,v64476362,1.1.1.205,50
2013,Canada,Average expenditure per household,All classes,Dental plan premiums,v64476362,1.1.1.205,43
2014,Canada,Average expenditure per household,All classes,Dental plan premiums,v64476362,1.1.1.205,52
2010,Canada,Average expenditure per household,All classes,Accident or disability insurance premiums,v64476363,1.1.1.206,105
2011,Canada,Average expenditure per household,All classes,Accident or disability insurance premiums,v64476363,1.1.1.206,111
2012,Canada,Average expenditure per household,All classes,Accident or disability insurance premiums,v64476363,1.1.1.206,113
2013,Canada,Average expenditure per household,All classes,Accident or disability insurance premiums,v64476363,1.1.1.206,130
2014,Canada,Average expenditure per household,All classes,Accident or disability insurance premiums,v64476363,1.1.1.206,139
2010,Canada,Average expenditure per household,All classes,Personal care,v54530482,1.1.1.29,949
2011,Canada,Average expenditure per household,All classes,Personal care,v54530482,1.1.1.29,1067
2012,Canada,Average expenditure per household,All classes,Personal care,v54530482,1.1.1.29,1194
