Ref_Date,GEO,STAT,TENURE,SUMMARY,Vector,Coordinate,Value
2010,Canada,Average expenditure per household,All classes,Food purchased from restaurants,v54530458,1.1.1.5,2141
2011,Canada,Average expenditure per household,All classes,Food purchased from restaurants,v54530458,1.1.1.5,2218
2012,Canada,Average expenditure per household,All classes,Food purchased from restaurants,v54530458,1.1.1.5,2195
2013,Canada,Average expenditure per household,All classes,Food purchased from restaurants,v54530458,1.1.1.5,2216
2014,Canada,Average expenditure per household,All classes,Food purchased from restaurants,v54530458,1.1.1.5,2229
2010,Canada,Average expenditure per household,All classes,Restaurant meals,v64476208,1.1.1.51,1885
2011,Canada,Average expenditure per household,All classes,Restaurant meals,v64476208,1.1.1.51,1950
2012,Canada,Average expenditure per household,All classes,Restaurant meals,v64476208,1.1.1.51,1921
2013,Canada,Average expenditure per household,All classes,Restaurant meals,v64476208,1.1.1.51,1963
2014,Canada,Average expenditure per household,All classes,Restaurant meals,v64476208,1.1.1.51,1959
2010,Canada,Average expenditure per household,All classes,Restaurant snacks and beverages,v64476209,1.1.1.52,256
2011,Canada,Average expenditure per household,All classes,Restaurant snacks and beverages,v64476209,1.1.1.52,268
2012,Canada,Average expenditure per household,All classes,Restaurant snacks and beverages,v64476209,1.1.1.52,274
2013,Canada,Average expenditure per household,All classes,Restaurant snacks and beverages,v64476209,1.1.1.52,253
2014,Canada,Average expenditure per household,All classes,Restaurant snacks and beverages,v64476209,1.1.1.52,270
2010,Canada,Average expenditure per household,All classes,Shelter,v54530459,1.1.1.6,15020
2011,Canada,Average expenditure per household,All classes,Shelter,v54530459,1.1.1.6,15215
2012,Canada,Average expenditure per household,All classes,Shelter,v54530459,1.1.1.6,15807
2013,Canada,Average expenditure per household,All classes,Shelter,v54530459,1.1.1.6,16361
2014,Canada,Average expenditure per household,All classes,Shelter,v54530459,1.1.1.6,17160
2010,Canada,Average expenditure per household,All classes,Principal accommodation,v54530460,1.1.1.7,13586
2011,Canada,Average expenditure per household,All classes,Principal accommodation,v54530460,1.1.1.7,13981
