Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,"Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Calgary, Alberta [48825] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] ","Edmonton, Alberta [48835] "
Type of dwelling,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions,Total dwellings,Total dwellings,"Singles, includes mobile homes","Singles, includes mobile homes",Cottages,Cottages,Doubles,Doubles,Rows,Rows,Apartments,Apartments,Conversions,Conversions
Estimates,Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)",Number of units,"Dollars (x 1,000) (2)"
Apr-2009,12270,2126888,6464,1433233,30,852,800,114752,836,112090,3741,440806,399,25155,1640,363578,1196,311301,2,33,153,22371,104,9663,170,19195,15,1015,754,168097,625,151318,0,0,92,12214,24,2566,13,1999,0,0,462,106812,243,80960,0,0,48,8089,16,1753,146,15785,9,225
May-2009,15383,2652723,7386,1645307,78,2314,802,116391,1022,153898,5532,705429,563,29384,1538,338209,1067,278739,6,205,179,25686,91,12347,173,20647,22,585,440,92112,293,71777,0,0,64,8205,45,6095,30,5950,8,85,488,127720,318,103590,0,0,87,14765,31,4268,49,5054,3,43
Jun-2009,15364,2746823,8161,1843780,84,2234,718,114589,1205,190583,4788,575250,408,20387,1810,412528,1361,360466,10,307,176,21160,124,14647,126,15532,13,416,612,140768,484,125114,0,0,96,11291,31,4258,0,0,1,105,427,122058,314,107582,0,0,62,8056,41,5325,4,927,6,168
Jul-2009,14153,2574903,8060,1833020,78,2368,626,91799,1188,161578,3738,463970,463,22168,2063,473791,1454,381074,6,189,177,24372,57,6752,334,59867,35,1537,671,148178,491,126580,0,0,71,9133,48,6006,61,6459,0,0,590,161822,375,120801,1,32,70,10501,0,0,130,29814,14,674
Aug-2009,14624,2702990,8213,1948114,61,1831,852,131187,1297,167154,3780,431915,421,22789,2693,574228,1653,452583,5,182,256,37694,165,20015,596,63185,18,569,725,166836,570,145172,0,0,109,15177,43,5937,3,550,0,0,1193,261171,571,191677,0,0,102,16399,44,6520,468,46377,8,198
Sep-2009,17147,3123674,8735,2060101,48,1544,1034,158376,1834,261191,4988,615722,508,26740,2797,627528,1748,492488,1,40,296,40028,90,12216,620,80122,42,2634,925,197895,557,143239,0,0,63,8619,53,6383,241,38735,11,919,1053,277224,631,222160,0,0,202,27272,32,5142,172,21991,16,659
Oct-2009,17856,3337558,9369,2285206,41,1354,989,159975,1642,221287,5185,632026,630,37710,2579,625390,1872,527457,0,0,243,32937,180,22436,257,41632,27,928,850,199488,660,172974,0,0,86,12351,93,12835,10,1272,1,56,997,271542,613,219455,0,0,122,16729,77,8197,168,26585,17,576
Nov-2009,18189,3265686,8151,2008653,25,715,941,138852,1605,222393,6885,856501,582,38572,2446,568014,1675,479361,2,90,217,30565,296,33811,233,23717,23,470,887,208517,671,180000,0,0,81,10497,84,13331,51,4689,0,0,773,220365,536,191141,0,0,106,15428,55,7420,62,6097,14,279
Dec-2009,15347,2659191,5837,1404347,10,229,723,106344,1442,195323,6677,909803,658,43145,2130,430545,1130,317198,0,0,181,27205,357,45177,434,39939,28,1026,901,177636,457,117889,0,0,42,6276,263,34434,138,18787,1,250,796,182307,393,138733,0,0,130,19291,92,10531,164,13387,17,365
Jan-2010,12255,2212491,4945,1233411,9,202,594,83749,1036,151657,4963,693937,708,49535,1485,371196,1110,317903,2,65,151,21142,163,25819,40,5564,19,703,594,139531,431,111888,0,0,50,6592,100,18387,12,2594,1,70,591,169010,415,146719,0,0,96,13880,57,6730,12,1334,11,347
Feb-2010,11725,2178428,5778,1423361,12,355,925,137645,1258,190597,3238,398255,514,28215,1884,465329,1330,394529,1,45,241,33810,78,10962,214,25511,20,472,646,158821,520,140605,0,0,78,10757,23,3720,24,3679,1,60,822,221735,499,180980,0,0,151,21699,55,7242,108,11682,9,132
Mar-2010,19617,3675137,9657,2329045,28,643,1153,190586,1441,220780,6668,898925,670,35158,2304,570669,1702,498376,0,0,157,22588,70,9733,309,35037,66,4935,911,202824,590,162973,0,0,91,13633,26,3855,198,22012,6,351,743,224393,579,204667,0,0,62,8677,34,4780,42,5558,26,711
Apr-2010,19414,3643754,10265,2459949,42,1270,1080,158173,1844,263852,5155,695179,1028,65331,2511,607924,1737,498365,0,0,211,30195,205,31145,320,46811,38,1408,858,200160,594,159195,0,0,78,11913,135,22877,49,5899,2,276,972,263071,573,203226,0,0,115,16272,70,8268,201,34705,13,600
May-2010,19707,3737597,10197,2485650,53,1773,980,161818,1934,289964,5943,770539,600,27853,2708,671779,1921,557639,0,0,210,32126,216,33545,327,47403,34,1066,873,205767,612,165219,0,0,74,12394,141,22533,46,5621,0,0,1052,291463,672,237128,0,0,118,17847,70,10651,165,25117,27,720
Jun-2010,19976,3695329,9676,2373418,64,2003,856,134000,2360,330184,6485,825897,535,29827,2609,664052,1890,562104,3,63,154,24363,278,40376,239,35446,45,1700,883,220162,608,176553,0,0,50,8048,138,23032,87,12529,0,0,897,264656,655,230402,0,0,86,14162,61,8237,75,11239,20,616
Jul-2010,17395,3235673,8171,2059453,68,2153,829,132824,1907,281004,5844,723399,576,36840,2515,580515,1463,438232,2,94,163,27718,194,28999,638,83219,55,2253,667,158619,393,113781,0,0,57,10872,86,16022,128,17567,3,377,1064,258720,552,197098,0,0,90,14884,36,5031,359,40738,27,969
Aug-2010,17511,3222064,7266,1841848,64,1955,848,146053,1712,249969,7077,941031,544,41208,2173,501050,1286,382444,0,0,160,27009,89,16080,593,74101,45,1416,569,132832,352,98221,0,0,67,11204,52,10044,93,12944,5,419,908,219843,463,170980,0,0,64,10342,23,2710,339,35327,19,484
Sep-2010,18499,3516220,7966,2012222,59,1510,887,130006,2382,352320,6577,978755,628,41407,2149,491486,1310,390436,1,30,171,24485,214,31837,407,43048,46,1650,801,156244,328,98790,0,0,61,10353,137,24235,274,22846,1,20,650,176570,420,150489,0,0,102,12851,69,6792,30,5672,29,766
Oct-2010,17284,3184713,6936,1797251,33,1063,1016,160562,1515,240136,7278,959612,506,26089,2364,484157,1194,359059,2,45,201,31567,70,12131,855,80104,42,1251,531,130942,331,96800,0,0,132,21031,40,8208,28,4903,0,0,1067,222799,432,157183,0,0,56,8734,21,2713,533,53464,25,705
Nov-2010,14603,2689338,6476,1628714,28,859,922,138590,1314,190801,5450,708407,413,21967,1871,441366,1240,356212,0,0,184,28812,132,19128,268,35646,47,1568,615,151728,446,126809,0,0,66,10851,35,4965,67,8953,1,150,740,184224,390,137150,0,0,82,12641,92,13603,150,19943,26,887
Dec-2010,15184,2729569,4575,1178220,13,431,544,88652,1519,242577,7935,1182108,598,37581,1719,343064,774,226145,1,20,101,16183,159,21229,631,78164,53,1323,734,146872,316,91440,0,0,40,6976,59,10081,317,38259,2,116,660,133162,223,81780,0,0,48,7316,71,7822,280,35333,38,911
Jan-2011,12633,2135394,3985,1074471,4,71,595,115245,1425,196339,5877,701017,747,48251,1253,304688,852,256047,0,0,138,19818,63,8187,156,19546,44,1090,391,106944,357,102161,0,0,0,0,11,1761,22,2955,1,67,572,143628,311,112813,0,0,118,16749,30,3265,90,10381,23,420
Feb-2011,10318,1833435,4134,1070697,14,439,608,94244,1002,147645,3944,475788,616,44622,1304,289888,742,218243,2,51,168,25099,167,28015,185,17452,40,1028,607,130950,314,83940,0,0,74,12179,130,23186,89,11645,0,0,456,109423,245,89808,0,0,84,11628,22,3018,88,4503,17,466
Mar-2011,18216,3732957,7336,1937679,21,643,890,145920,1873,314123,7184,1259751,912,74841,2468,540401,1253,380761,2,105,228,33479,206,34377,749,90727,30,952,952,207828,419,121164,0,0,61,9630,133,26217,337,50628,2,189,901,209822,440,158771,1,50,126,18245,45,5225,276,27263,13,268
Apr-2011,16831,3273729,8142,2124584,39,1721,1112,193779,1486,211176,5629,711895,423,30574,2772,623944,1430,438970,2,25,274,39750,172,27702,861,116646,33,851,1069,222547,482,136186,0,0,62,9831,120,17471,405,59059,0,0,1157,268532,493,185579,0,0,185,27521,38,8805,416,46036,25,591
May-2011,20207,3907284,8918,2342308,67,2649,885,154562,1304,213456,7793,1037101,1240,157208,2704,617263,1426,440744,1,51,167,27368,236,40672,780,97445,94,10983,822,184144,383,113812,0,0,76,12729,119,20903,243,36550,1,150,1225,277232,519,189750,0,0,74,12722,85,16057,459,48058,88,10645
Jun-2011,19483,3827943,8955,2366878,79,2881,856,148105,1663,262476,7100,977855,830,69748,2595,619049,1588,466062,2,85,224,35845,157,24538,603,91699,21,820,1134,242434,539,152579,0,0,83,13808,124,17249,386,58748,2,50,757,202650,414,151560,0,0,119,18607,21,3475,188,28330,15,678
Jul-2011,18374,3538868,7770,2133661,54,1470,930,167156,1604,240649,7011,917053,1005,78879,2530,631974,1472,458165,0,0,160,25861,188,27825,671,119085,39,1038,965,218046,430,126768,0,0,71,12023,104,18442,360,60813,0,0,806,232756,537,199045,0,0,70,11711,35,4386,131,16678,33,936
Aug-2011,16785,3320570,7692,2048466,45,1406,694,112541,1542,234191,6261,887468,551,36498,3008,650090,1443,445928,0,0,203,32864,198,29721,1123,140041,41,1536,1624,284242,436,126085,0,0,72,13502,130,21351,986,123304,0,0,836,226736,531,191424,0,0,110,16388,40,4049,120,13623,35,1252
Sep-2011,17452,3244845,7199,1937146,54,1613,725,119777,1976,299746,7004,855614,494,30949,2777,641810,1372,440301,0,0,224,38292,231,43403,849,114786,101,5028,1365,273914,477,140491,0,0,79,14294,133,28800,674,90269,2,60,783,215795,430,166735,0,0,112,19210,94,14203,111,14688,36,959
Oct-2011,16615,3257525,7006,1906311,32,1120,941,163047,1537,248628,6667,914484,432,23935,2651,588465,1289,410592,1,50,241,36128,209,34406,886,105917,25,1372,998,230766,491,145469,0,0,114,18415,109,20881,283,45901,1,100,1063,228463,405,158332,0,0,108,15273,73,9398,456,44286,21,1174
Nov-2011,17033,3332346,6790,1894087,33,935,1151,199179,1556,239188,6797,952914,706,46043,2493,549154,1229,382466,2,60,259,42883,253,37388,679,83386,71,2971,833,197718,471,146665,0,0,62,10011,66,11040,232,29817,2,185,1036,222862,391,145644,0,0,172,29184,115,15288,304,31266,54,1480
Dec-2011,16028,3124794,4791,1387711,13,332,565,106801,1295,208683,8587,1374245,777,47022,2035,468506,999,306473,0,0,171,30913,244,39953,576,89152,45,2015,845,201733,436,124164,0,0,71,11916,145,29294,190,36109,3,250,818,185888,340,124445,0,0,92,17544,95,10024,265,33268,26,607
Jan-2012,13282,2646393,4354,1298430,10,270,769,160809,1821,297920,5866,864735,462,24229,1820,405376,919,286726,0,0,136,22947,187,28634,530,65606,48,1463,799,180433,391,121271,0,0,45,8039,132,20700,231,30423,0,0,688,163388,336,117786,0,0,83,13852,32,4847,206,26067,31,836
Feb-2012,14211,2640416,4467,1250869,10,293,711,119382,1137,175114,7093,1052434,793,42324,2299,489796,1082,328012,0,0,242,41387,178,26589,701,90949,96,2859,932,202120,439,131694,0,0,54,10037,76,13645,361,46584,2,160,998,220008,407,145247,0,0,162,25873,75,10047,275,36688,79,2153
Mar-2012,18652,3521490,7337,1987927,24,740,1006,156463,2395,370166,7275,972154,615,34040,2971,665081,1503,463987,0,0,242,37463,406,63785,762,97817,58,2029,1222,266419,523,157375,0,0,54,9030,240,40383,404,59371,1,260,1034,251704,517,190381,0,0,178,27145,97,9887,216,23540,26,751
Apr-2012,17905,3579451,7958,2154679,41,1331,1060,178200,1299,194136,6977,1014863,570,36242,2951,633220,1428,422653,2,85,209,34205,246,38116,1032,135996,34,2165,1290,280094,519,159935,0,0,83,14663,160,25716,527,79380,1,400,829,176535,343,122107,0,0,100,15185,62,9888,312,28811,12,544
May-2012,21987,4411982,9550,2620212,65,2104,1281,211249,1694,255725,8705,1270693,692,51999,3504,842586,2023,610336,1,45,340,54173,213,36811,884,139453,43,1768,1283,319085,640,193365,0,0,101,18603,88,17104,454,90013,0,0,1297,307856,645,223480,0,0,210,31849,79,12527,344,39376,19,624
Jun-2012,22273,4580471,9258,2656536,61,2032,1452,287189,2221,347760,8376,1229069,905,57885,2853,691436,1661,518484,2,60,359,61687,317,47350,469,62587,45,1268,937,241683,576,179609,0,0,114,22732,114,22104,131,17212,2,26,960,257914,528,196045,0,0,220,35634,174,22002,23,3898,15,335
Jul-2012,20049,4096521,8355,2397091,44,1558,841,149830,1971,305500,8344,1212585,494,29957,2575,661104,1631,518010,0,0,315,56657,201,35758,388,49116,40,1563,890,243467,541,174107,0,0,111,23055,110,24827,127,21428,1,50,998,261753,562,206735,0,0,174,28207,79,9753,175,16710,8,348
Aug-2012,19598,3878906,7813,2206068,76,2870,899,174027,1692,261620,8341,1168287,777,66034,3713,829126,1510,484582,0,0,228,40614,377,60373,1537,240745,61,2812,1596,349702,465,150631,0,0,85,16494,179,39714,858,141535,9,1328,1370,309241,521,200421,0,0,113,19202,184,18752,525,70494,27,372
Sep-2012,17898,3867845,7546,2241183,48,1571,1275,273680,1834,319207,6457,981460,738,50744,2393,663324,1414,443026,0,0,214,40526,281,52444,433,125390,51,1938,774,250239,440,141684,0,0,57,11446,151,37215,123,59553,3,341,970,266642,457,167228,0,0,146,27019,95,11928,255,60254,17,213
Oct-2012,19196,3774079,7438,2130430,29,953,1208,223378,2073,334459,7758,1039439,690,45420,3240,711191,1574,484912,0,0,414,71070,319,58126,880,95622,53,1461,1031,255367,535,175930,0,0,91,17324,130,26950,275,35163,0,0,1360,287950,508,185751,0,0,294,49453,101,12132,433,40201,24,413
Nov-2012,16231,3183274,6038,1736691,22,638,740,139834,1557,239418,7224,1038192,650,28501,3187,696721,1463,454700,0,0,268,51422,244,37709,1155,150930,57,1960,983,245275,582,179068,0,0,74,14029,92,15553,232,36477,3,148,1498,289886,435,160286,0,0,152,29956,117,15496,767,83725,27,423
Dec-2012,10946,2048410,3711,1084789,11,367,468,75467,1317,195998,4781,650234,658,41555,2301,464018,975,306639,0,0,204,33064,299,40948,586,75307,237,8060,1082,206233,401,124313,0,0,76,12962,195,27809,208,34480,202,6669,781,176777,317,120076,0,0,102,17384,63,7877,284,31232,15,208
Jan-2013,12402,2388751,3987,1228363,10,302,628,121719,1604,252923,5700,764573,473,20871,2355,521349,1115,358947,0,0,217,40039,231,27647,732,92267,60,2449,812,187452,469,145612,0,0,71,14396,63,8525,204,18603,5,316,1211,260653,398,148605,0,0,134,24587,145,15203,511,71472,23,786
Feb-2013,11045,2232586,4103,1205195,10,259,646,115846,1271,217867,4371,634677,644,58742,2163,521737,1232,385415,1,21,243,40507,215,36936,391,54973,81,3885,807,195195,474,139527,0,0,81,14362,94,18682,149,21741,9,883,945,241165,469,175571,0,0,140,23930,81,10990,204,28332,51,2342
Mar-2013,14622,3106896,5992,1786484,13,360,932,178013,1353,257788,5798,846500,534,37751,3279,761147,1461,465009,0,0,310,51601,282,47002,1180,195754,46,1781,1492,364837,530,163999,0,0,101,19178,145,30959,715,150661,1,40,1259,269481,507,188207,0,0,188,29742,110,11388,433,39756,21,388
Apr-2013,21087,4187516,7553,2168419,36,1004,997,185764,2148,329164,9260,1390270,1093,112895,3269,763054,1663,516802,0,0,281,47286,414,69128,856,127862,55,1976,1453,325749,587,182013,0,0,120,22313,278,50721,467,70687,1,15,923,236125,461,172388,0,0,150,23267,124,15017,169,24969,19,484
May-2013,22969,4658268,8682,2514717,54,1792,1153,226807,2138,348566,10057,1464573,885,101813,4026,927683,1997,639541,1,35,390,68213,391,61670,1171,154750,76,3474,1499,348247,686,218001,0,0,102,21394,189,35228,522,73624,0,0,1476,350993,611,238473,0,0,244,39673,118,16479,467,54914,36,1454
Jun-2013,19060,3876274,7369,2124539,50,1447,746,147103,1579,292480,8546,1261068,770,49637,3105,782864,1699,544273,0,0,264,47741,269,47518,787,139576,86,3756,1452,341738,558,176415,0,0,72,14738,190,34717,627,115510,5,358,904,256768,546,203310,0,0,170,29024,69,10259,95,13252,24,923
Jul-2013,19099,3987592,7569,2231207,57,1673,850,172775,1858,331095,7894,1187904,871,62938,3721,882559,1779,590346,1,25,303,60325,405,68458,1151,160287,82,3118,1350,335486,614,201097,0,0,80,18791,268,47933,387,67663,1,2,1476,351030,592,229205,0,0,198,37327,94,13869,572,70255,20,374
Aug-2013,17922,3541690,6523,1927508,42,978,670,124960,1461,248561,8385,1177929,841,61754,3223,763278,1552,510244,0,0,253,45537,281,52838,1073,152704,64,1955,1493,340255,554,179255,0,0,88,17723,172,33557,675,109517,4,203,1006,261882,490,190852,0,0,148,25511,97,17554,237,27162,34,803
Sep-2013,18335,3759312,6949,2068103,35,1151,868,172004,1982,342801,7932,1144112,569,31141,4216,956513,1658,535965,2,75,273,51448,375,72594,1821,293172,87,3259,1580,402286,569,182502,0,0,116,24461,224,53731,671,141592,0,0,1539,350294,547,211012,0,0,139,23464,77,9398,751,105977,25,443
Oct-2013,20217,4213858,7047,2214274,38,1018,1025,202485,2060,342115,8690,1259126,1357,194840,3887,946022,1671,608736,2,65,287,53688,341,55383,1492,224420,94,3730,1795,456046,630,260623,0,0,106,22354,164,32910,894,140028,1,131,1145,299629,531,215055,0,0,145,24142,108,13464,322,46181,39,787
Nov-2013,18003,3495401,5430,1680584,23,1006,698,124417,1463,279867,9535,1381665,854,27862,3843,789514,1390,440752,0,0,270,48234,331,71913,1805,226664,47,1951,2155,433499,613,196097,0,0,80,16033,231,58807,1231,162562,0,0,1189,243040,396,149854,0,0,165,27025,88,10281,521,55359,19,521
Dec-2013,12928,2488351,3959,1226510,13,379,614,114952,1621,286030,6375,842370,346,18110,2805,612771,1143,370189,0,0,261,45926,293,54625,1051,139368,57,2663,1271,290303,499,158713,0,0,67,14789,215,44099,489,72689,1,13,1138,249356,429,156503,0,0,178,29326,78,10526,434,52687,19,314
Jan-2014,15221,3166633,4165,1354558,8,622,1026,215908,2081,390856,7420,1178764,521,25925,3768,820354,1456,481414,0,0,340,63540,532,101090,1371,171857,69,2453,1476,372516,649,214132,0,0,124,25560,370,80484,332,52290,1,50,1669,340848,508,195161,0,0,208,36645,155,19721,770,88697,28,624
Feb-2014,11498,2363246,3452,1095025,15,435,679,120559,1026,184005,5619,918594,707,44628,2892,612090,1031,338470,0,0,270,46606,270,43846,1257,181469,64,1699,1067,237767,369,120672,0,0,58,11538,21,4313,618,101224,1,20,1328,273174,409,152477,0,0,193,32596,187,27961,519,59677,20,463
Mar-2014,16102,3157594,5561,1683666,9,223,876,161106,1883,320466,6975,947737,798,44396,3105,694496,1360,450626,0,0,303,56716,247,46659,1099,136531,96,3964,834,246753,545,181265,0,0,108,21359,109,28494,70,15598,2,37,1548,325832,495,181616,0,0,189,34300,119,14987,718,94225,27,704
Apr-2014,16647,3607370,6820,2090982,18,485,1211,234179,1878,330410,5529,866706,1191,84608,3383,786427,1445,477900,1,20,391,71517,438,67027,1009,166642,99,3321,1132,296893,565,189535,0,0,103,20747,108,22790,354,63771,2,50,1323,307324,474,171200,0,0,254,42119,230,29096,339,64076,26,833
May-2014,19821,4255204,8023,2435810,48,1394,943,190692,1931,337218,8182,1246813,694,43277,3620,907049,1657,551845,0,0,326,59469,259,45818,1300,247587,78,2330,1650,440113,649,215970,0,0,77,17182,90,22536,833,184225,1,200,1263,300784,536,199341,0,0,216,36021,148,20056,341,44909,22,457
Jun-2014,18624,4179935,8045,2500994,36,1036,997,212399,2348,472725,6405,952574,793,40207,3409,888980,1861,619407,1,45,310,56698,269,66713,869,142803,99,3314,1163,334214,636,219010,0,0,90,20735,119,32930,318,61539,0,0,1487,375496,711,262094,0,0,195,32371,62,8342,482,71839,37,850
Jul-2014,21714,4779245,7647,2412457,54,2142,990,194798,2043,369121,10284,1759725,696,41002,3917,1007264,2021,685046,0,0,337,68750,334,64230,1151,186935,74,2303,1584,419247,618,216451,0,0,124,31110,208,45337,633,126299,1,50,1483,370636,755,279018,0,0,201,35726,77,10505,404,44298,46,1089
Aug-2014,16124,3585337,6150,1939782,51,1288,931,187716,1770,306825,6575,1112668,647,37058,4176,983434,1502,525618,0,0,360,71565,317,53032,1895,328483,102,4736,1721,443796,450,167561,0,0,78,17558,134,27296,1056,230707,3,674,1556,336141,505,198762,0,0,265,50748,172,22897,575,62667,39,1067
Sep-2014,19617,4218634,7255,2293967,46,1355,1090,221913,2541,447927,8039,1212796,646,40676,3611,920550,1733,594944,2,60,430,83693,467,88687,896,149522,83,3644,1393,359834,485,180012,0,0,121,26295,208,51216,573,101321,6,990,1267,345097,638,248327,0,0,274,51922,175,25445,134,18172,46,1231
Oct-2014,19959,4331895,7059,2272582,38,984,1057,215552,1941,353537,8828,1399404,1036,89836,4391,1047178,1790,610800,1,38,393,81303,371,59779,1725,291449,111,3809,1899,460534,557,195202,0,0,158,37333,251,44044,933,183955,0,0,1494,366848,654,248042,0,0,211,39482,72,9930,514,68636,43,758
Nov-2014,16591,3671262,5179,1695069,21,994,784,165438,1628,285054,8391,1490143,588,34564,2629,754123,1401,483053,2,520,331,68172,263,52817,532,142293,100,7268,1016,341480,468,168547,1,480,100,24305,162,37071,285,111077,0,0,1026,281343,552,209239,0,0,220,41127,63,10144,159,20159,32,674
Dec-2014,13530,3096219,4326,1484551,12,403,741,155814,1516,293808,6382,1135041,553,26602,2836,689496,1248,430822,1,50,290,54997,172,34300,1067,167714,58,1613,1079,285668,429,156237,0,0,78,17226,127,27624,445,84581,0,0,1240,293401,508,190777,0,0,194,34482,35,5334,468,61883,35,925
Jan-2015,11233,2519454,3935,1433915,5,137,587,126460,1281,223605,4718,683813,707,51524,2601,609825,1161,410764,0,0,242,48722,266,42612,846,104007,86,3720,795,207246,410,146393,0,0,62,15639,94,18047,220,25949,9,1218,1430,315130,516,196880,0,0,170,30778,141,18688,553,67365,50,1419
Feb-2015,11984,2639177,3423,1156011,3,61,706,136856,1089,202904,6229,1117489,534,25856,2478,614543,1036,348445,0,0,354,69048,345,65483,692,130322,51,1245,624,179450,326,108315,0,0,64,12974,138,35192,92,22626,4,343,1488,360280,484,181875,0,0,278,53809,182,26161,513,97798,31,637
Mar-2015,18656,3919660,5377,1851215,8,211,864,177988,2055,343165,9782,1513311,570,33770,3649,850158,970,343396,0,0,308,57450,546,94703,1758,352492,67,2117,1436,394482,192,74874,0,0,28,6883,227,49037,989,263688,0,0,1479,323032,479,185266,0,0,257,45866,287,42224,413,48400,43,1276
Apr-2015,19259,4276171,6671,2271700,21,724,781,150001,1714,337094,9271,1460182,801,56470,3229,773352,1190,409889,0,0,258,48883,384,73483,1309,237129,88,3968,1212,334548,291,103177,0,0,81,17115,187,47338,652,166895,1,23,1482,311376,520,199329,0,0,161,28104,191,25649,559,56068,51,2226
May-2015,17225,3914243,7249,2391505,45,1420,892,197217,1977,355215,6244,910369,818,58517,3047,670450,1198,406306,0,0,283,54476,338,45520,1090,152811,138,11337,540,149232,278,97724,0,0,46,10916,97,19641,118,20931,1,20,1836,364089,477,181973,0,0,219,40179,231,23999,800,107496,109,10442
Jun-2015,20068,4618237,7802,2589107,49,1573,1065,231130,2228,433657,7688,1197817,1236,164953,3370,799008,1297,448299,0,0,298,59726,282,57328,1441,231521,52,2134,1186,315953,342,122485,0,0,62,15162,130,33587,652,144719,0,0,1370,291521,465,179989,0,0,218,41193,106,14380,547,54685,34,1274
Jul-2015,20975,4908348,7554,2528200,64,1953,875,186554,2083,415608,9285,1673684,1114,102349,3613,854397,1322,461187,2,75,240,48832,247,45386,1722,295949,80,2968,1697,416650,416,152777,0,0,66,13518,152,29977,1056,220065,7,313,1343,291399,489,186128,0,0,138,27002,83,12788,590,63824,43,1657
Aug-2015,18443,4099490,6041,1986490,40,1316,744,150448,2073,381054,9026,1551249,519,28933,2799,706411,1080,374339,0,0,338,64595,446,88461,880,176109,55,2907,1200,323565,305,108380,0,0,70,16984,268,62253,551,134650,6,1298,1059,248588,418,161257,0,0,228,37299,149,20147,228,28828,36,1057
Sep-2015,18280,3982921,6544,2207452,43,1729,831,183331,2196,387533,7473,1108913,1193,93963,3513,810702,1188,419796,0,0,213,43396,657,102901,1375,242397,80,2212,1411,351752,364,140993,0,0,55,11903,199,42931,790,155620,3,305,1641,350592,481,185515,0,0,146,29723,444,56403,513,77778,57,1173
Oct-2015,21528,4830450,6336,2085557,23,844,763,142589,2409,470865,11366,2095340,631,35255,6308,1528988,1208,421743,1,30,285,52273,663,150625,4079,901545,72,2772,4082,1080100,442,157850,0,0,81,16628,450,114096,3105,791021,4,505,1662,319690,426,168753,0,0,191,33490,136,22279,868,93943,41,1225
Nov-2015,14761,3277338,4817,1680869,24,1018,651,130987,1899,376077,6748,1052231,622,36156,2214,475547,816,275434,0,0,268,50764,276,46570,789,101342,65,1437,374,118178,229,83477,0,0,42,8930,76,20150,26,5611,1,10,1428,264526,312,119252,0,0,211,38432,154,21013,696,84845,55,984
Dec-2015,15347,3337912,3721,1301869,16,662,642,118212,2282,441538,7155,1321661,1531,153970,2010,462091,716,235720,0,0,262,48729,330,55199,650,121031,52,1412,857,216106,254,88190,0,0,68,12481,188,33921,345,81458,2,56,891,187442,271,99260,0,0,184,34382,140,21118,252,31474,44,1208
Jan-2016,10178,2186397,3079,1079508,10,322,363,73050,1059,214967,5118,791464,549,27086,1560,371265,702,242319,0,0,158,31332,165,27218,476,68637,59,1759,372,112591,230,85233,0,0,24,4232,17,4034,100,18992,1,100,970,216741,338,126975,0,0,130,26000,111,16412,344,46166,47,1188
